drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
label,2,0.25,0.05382127011238126,2.7204756180565504e-05,0.18303517307800948,logistic_regression,med_change,2
label,2,0.25,0.30779867256637167,0.02399930506992587,0.23013605373577167,xgboost,med_change,2
label,2,0.25,0.010084673406459545,0.0040638737107977965,0.2286821035289991,mlp,med_change,2
concept,0,1.5,0.1133446373060849,0.000620943696867049,0.45832748882312974,logistic_regression,readmit_30,2
concept,0,1.5,0.008128448827212826,0.00441197787900411,0.022999202253424857,xgboost,readmit_30,2
concept,0,1.5,0.0,0.0,0.11943226385739965,mlp,readmit_30,2
concept,0,1.5,0.0,0.0,0.6601689725457265,logistic_regression,extended_stay,2
concept,0,1.5,0.20274500238828425,0.04106057755864101,0.11803370177378004,xgboost,extended_stay,2
concept,0,1.5,0.0,0.0,0.6601013791698449,mlp,extended_stay,2
concept,0,1.5,0.07697013726289058,2.7204756180565504e-05,0.4596478964271635,logistic_regression,med_change,2
concept,0,1.5,0.4677922256419319,0.02399930506992587,0.4487873685738048,xgboost,med_change,2
concept,0,1.5,0.01906090190609019,0.0040638737107977965,0.5375391871216147,mlp,med_change,2
concept,1,2.0,0.13105812377455828,0.000620943696867049,0.4417334212023041,logistic_regression,readmit_30,2
concept,1,2.0,0.00443461897806377,0.00441197787900411,0.02925754334175644,xgboost,readmit_30,2
concept,1,2.0,0.0,0.0,0.13768573824030775,mlp,readmit_30,2
concept,1,2.0,0.0,0.0,0.6157798416600182,logistic_regression,extended_stay,2
concept,1,2.0,0.18208357837912803,0.04106057755864101,0.1158319910591419,xgboost,extended_stay,2
concept,1,2.0,0.0,0.0,0.6157122482841365,mlp,extended_stay,2
concept,1,2.0,0.0804168725813171,2.7204756180565504e-05,0.5231202050768212,logistic_regression,med_change,2
concept,1,2.0,0.4785806784457085,0.02399930506992587,0.4591968450979252,xgboost,med_change,2
concept,1,2.0,0.01774819744869662,0.0040638737107977965,0.6062337248589768,mlp,med_change,2
concept,2,3.0,0.18111920267770265,0.000620943696867049,0.4085452859606531,logistic_regression,readmit_30,2
concept,2,3.0,0.013174638820270979,0.00441197787900411,0.048560555695906345,xgboost,readmit_30,2
concept,2,3.0,0.0,0.0,0.16755505995779377,mlp,readmit_30,2
concept,2,3.0,0.0,0.0,0.5270015798886014,logistic_regression,extended_stay,2
concept,2,3.0,0.18572970774141062,0.04106057755864101,0.17631386445548944,xgboost,extended_stay,2
concept,2,3.0,0.0,0.0,0.5269339865127198,mlp,extended_stay,2
concept,2,3.0,0.09563271079563818,2.7204756180565504e-05,0.6633517991957217,logistic_regression,med_change,2
concept,2,3.0,0.49557159967472736,0.02399930506992587,0.4821829296607162,xgboost,med_change,2
concept,2,3.0,0.020795660036166366,0.0040638737107977965,0.7484820776034611,mlp,med_change,2
covariate,0,0.5,0.25378033297657865,0.24704551554395437,0.6053395866195492,logistic_regression,readmit_30,3
covariate,0,0.5,0.020419680878354114,0.00482682956952475,0.027599958519400516,xgboost,readmit_30,3
covariate,0,0.5,0.0,0.0,0.10494801807883339,mlp,readmit_30,3
covariate,0,0.5,0.0,0.0,0.7044181568126029,logistic_regression,extended_stay,3
covariate,0,0.5,0.12172643260946658,0.10434493996884292,0.11161618089866301,xgboost,extended_stay,3
covariate,0,0.5,0.0,0.0,0.7044179731543252,mlp,extended_stay,3
covariate,0,0.5,0.09805236368069739,0.052451534094680244,0.3137584830651069,logistic_regression,med_change,3
covariate,0,0.5,0.00531696925978975,0.02399930506992587,0.004414742315654387,xgboost,med_change,3
covariate,0,0.5,0.010019269780310956,0.005308428782359714,0.4530801981680028,mlp,med_change,3
covariate,1,1.0,0.335889033699695,0.32462278167131375,0.7096410388996125,logistic_regression,readmit_30,3
covariate,1,1.0,0.027910317582473962,0.010219901546293054,0.08057469015199599,xgboost,readmit_30,3
covariate,1,1.0,0.0,0.0,0.10877762179887199,mlp,readmit_30,3
